Old_Code,Code,Borough
00AA,E09000001,City of London
00AB,E09000002,Barking and Dagenham
00AC,E09000003,Barnet
00AD,E09000004,Bexley
00AE,E09000005,Brent
00AF,E09000006,Bromley
00AG,E09000007,Camden
00AH,E09000008,Croydon
00AJ,E09000009,Ealing
00AK,E09000010,Enfield
00AL,E09000011,Greenwich
00AM,E09000012,Hackney
00AN,E09000013,Hammersmith and Fulham
00AP,E09000014,Haringey
00AQ,E09000015,Harrow
00AR,E09000016,Havering
00AS,E09000017,Hillingdon
00AT,E09000018,Hounslow
00AU,E09000019,Islington
00AW,E09000020,Kensington and Chelsea
00AX,E09000021,Kingston upon Thames
00AY,E09000022,Lambeth
00AZ,E09000023,Lewisham
00BA,E09000024,Merton
00BB,E09000025,Newham
00BC,E09000026,Redbridge
00BD,E09000027,Richmond upon Thames
00BE,E09000028,Southwark
00BF,E09000029,Sutton
00BG,E09000030,Tower Hamlets
00BH,E09000031,Waltham Forest
00BJ,E09000032,Wandsworth
00BK,E09000033,Westminster
H,E12000007,London
