"CODE";"BOROUGH";"YEAR";"VAL_01_AGE";"VAR_01_AGE";"IND_01_AGE";"VAL_02_RACE_WHITE";"VAR_02_RACE_WHITE";"IND_02_RACE_WHITE";"VAL_03_WEEK_EARNINGS";"VAR_03_WEEK_EARNINGS";"IND_03_WEEK_EARNINGS";"VAL_04_PERCENT_NVQ4";"VAR_04_PERCENT_NVQ4";"IND_04_PERCENT_NVQ4";"VAL_05_CAR_TRAFFIC";"VAR_05_CAR_TRAFFIC";"IND_05_CAR_TRAFFIC";"VAL_06_EXP_LIFE";"VAR_06_EXP_LIFE";"IND_06_EXP_LIFE";"VAL_07_CRIMES";"VAR_07_CRIMES";"IND_07_CRIMES";"VAL_08_SERVICES";"VAR_08_SERVICES";"IND_08_SERVICES";"VAL_09_HOUSE_PRICE";"VAR_09_HOUSE_PRICE";"IND_09_HOUSE_PRICE";"VAL_10_HOUSE_RENT";"VAR_10_HOUSE_RENT";"IND_10_HOUSE_RENT"
"E09000002";"Barking and Dagenham";2001;42,77;0;0;84,84;0;0;383,3;0;0;14,1;0;0;460;0;0;76,92;0;0;1711,5;0;0;750;0;0;88664,06;0;0;64,18;0;0
"E09000002";"Barking and Dagenham";2011;46,46;0,831;2,0368;58,25;-3,6904;-1,1501;452,1;1,8512;-0,2138;26,9;9,6671;0,8816;504;0,9177;2,3987;79,25;0,3737;-0,1763;1517,58;-1,1953;0,5844;755;0,0831;-0,9127;163465,14;6,3084;0,0176;96,49;4,1617;-0,0795
"E09000002";"Barking and Dagenham";2021;43,7;-0,6106;-2,0069;45,31;-2,4809;-2,5763;508,7;1,1865;-0,3146;37;3,2393;0,2177;457;-0,9742;0,064;78,5;-0,095;-4,8618;1554,75;0,2423;1,9926;1310;5,6653;0,5232;309046,08;6,5761;0,1781;118,71;2,0941;-0,0907
"E09000002";"Barking and Dagenham";2031;43,21;-0,1127;-1,5568;39,91;-1,261;-2,5302;550,93;0,8007;-0,6473;56,55;4,3333;0,7937;479;0,4713;-0,5662;77;-0,1927;-0,9544;1610,74;0,3544;-0,669;1767;3,0378;1,2801;389817,16;2,349;0,0916;145,5;2,0558;-0,1352
"E09000003";"Barnet";2001;43,51;0;0;73,9;0;0;427,4;0;0;37,3;0;0;1389;0;0;80,09;0;0;2689,5;0;0;2395;0;0;185563,35;0;0;67,7;0;0
"E09000003";"Barnet";2011;46,39;0,643;1,8022;64,14;-1,4065;0,1806;498,3;1,72;-0,2695;50,4;4,3938;-0,1448;1393;0,0288;1,0439;82,32;0,3439;-0,242;2149,83;-2,2148;0,23;2570;0,8854;-0,0699;338978,01;6,2106;0,0019;103,17;4,3029;-0,0482
"E09000003";"Barnet";2021;43,8;-0,5729;-1,9448;59,34;-0,7748;-0,1169;574,9;1,4402;-0,1681;56,1;1,0772;-0,5951;1246;-1,109;-0,0655;83,04;0,0871;2,5407;2234,5;0,387;2,5854;4580;5,9481;0,5993;555740,17;5,0679;-0,0921;128,78;2,242;-0,0265
"E09000003";"Barnet";2031;43,53;-0,0618;-1,3053;56,98;-0,405;-0,1338;630,1;0,921;-0,5944;56,1;0;-1;1368;0,9385;-0,1361;81,54;-0,1821;-0,8469;2371,3;0,596;-0,4434;3790;-1,8755;-2,4077;700197,15;2,3375;0,0863;163,82;2,4358;0,0246
"E09000004";"Bexley";2001;44,07;0;0;91,18;0;0;405;0;0;15,8;0;0;817;0;0;79,15;0;0;1766,67;0;0;1155;0;0;116527,13;0;0;63,58;0;0
"E09000004";"Bexley";2011;46,05;0,4405;1,5496;81,88;-1,07;0,3766;505,1;2,4845;0,0551;27,2;8,0691;0,5706;795;-0,2726;0,5845;81,81;0,414;-0,0875;1009,5;-5,4427;-0,8923;1205;0,5311;-0,4421;200672,26;5,5859;-0,0989;90,6;3,605;-0,2026
"E09000004";"Bexley";2021;44,59;-0,3217;-1,5305;75,6;-0,7948;-0,1457;586,6;1,5071;-0,1294;42,3;4,5146;0,6972;749;-0,5943;0,429;81,5;-0,038;-2,5447;1229,42;1,9904;9,154;1470;2,0077;-0,4602;369472,17;6,2942;0,1276;112,22;2,1631;-0,0607
"E09000004";"Bexley";2031;44,27;-0,072;-1,3557;72,25;-0,4522;-0,266;654,11;1,0953;-0,5176;57,89;3,1873;0,3194;785;0,4706;-0,5668;80,9;-0,0739;0,2505;1374,47;1,1215;0,0474;1619;0,9701;-0,2719;480038,5;2,6525;0,2327;139,05;2,1669;-0,0885
"E09000005";"Brent";2001;45,49;0;0;45,49;0;0;368,4;0;0;24,5;0;0;835;0;0;78,79;0;0;2773;0;0;1745;0;0;157287,4;0;0;62,39;0;0
"E09000005";"Brent";2011;44,38;-0,2467;0,6922;36,28;-2,2369;-0,3033;414,9;1,3295;-0,4354;30,2;3,0332;-0,4096;798;-0,4522;0,3108;81,81;0,4713;0,0388;2464,58;-1,1722;0,5924;1905;1,1026;0,1583;298964,55;6,6332;0,07;101,46;4,9828;0,1021
